1	30	42	31	42	31	31	0.775
2	25	42	35	42	35	35	0.875
3	20	42	37	42	37	37	0.925
4	15	42	40	42	40	40	1
5	10	42	40	42	40	40	1
6	5	42	40	42	40	40	1
7	0	42	40	42	40	40	1
8	-5	42	40	42	40	40	1
9	-10	42	40	42	40	40	1
10	-15	42	39	42	39	39	0.975
11	-20	42	36	42	36	36	0.9
12	-25	42	32	42	32	32	0.8
13	-30	42	29	42	29	29	0.725
