157	1.047	42	6	42	6	0.143	0.148
134	0.893	42	1	42	1	0.024	0.025
111	0.740	42	-1	42	-1	-0.024	-0.025
95.5	0.637	42	-10	42	-10	-0.238	-0.247
80.5	0.537	42	-16	42	-16	-0.381	-0.395
65.5	0.437	42	-20	42	-20	-0.476	-0.494
50	0.333	42	-26	42	-26	-0.619	-0.643
35	0.233	42	-26	42	-26	-0.619	-0.643
20	0.133	42	-18	42	-18	-0.429	-0.445
11.5	0.077	42	-6	42	-6	-0.143	-0.148
6	0.040	42	0	42	0	0.000	0.000
0	0.000	42	10	42	10	0.238	0.247 
